ORF	Condition1	Condition2	x Coord	y Coord	Area	Eccentricity	Perimeter
YDL019C	galactose	glutamate	171.923944	1852.281690	355.000000	0.494482	70.183766
YML066C	galactose	glutamate	312.000000	1852.000000	0.000000	0.000000	0.000000
YDL018C	galactose	glutamate	448.538922	1850.670659	501.000000	0.687736	97.740115
YLR439W	galactose	glutamate	588.000000	1852.000000	0.000000	0.000000	0.000000
wild-type	galactose	glutamate	724.931567	1849.955850	453.000000	0.755053	98.669048
wild-type	galactose	glutamate	863.952164	1848.432802	439.000000	0.719112	90.669048
YDL013W	galactose	glutamate	1001.284375	1848.181250	320.000000	0.784358	75.012193
YLR390W-A	galactose	glutamate	1140.501134	1847.888889	441.000000	0.755244	93.840620
YDL012C	galactose	glutamate	1278.691057	1847.306911	492.000000	0.724944	105.254834
YLR110C	galactose	glutamate	1416.000000	1852.000000	0.000000	0.000000	0.000000
YDL011C	galactose	glutamate	1555.465546	1847.470588	595.000000	0.638487	125.639610
YKR102W	galactose	glutamate	1693.966605	1846.552876	539.000000	0.701835	113.154329
YDL010W	galactose	glutamate	1832.087248	1847.206376	596.000000	0.615565	128.468037
YKR096W	galactose	glutamate	1970.957565	1846.060886	542.000000	0.725511	113.396970
YDL009C	galactose	glutamate	2109.393728	1845.794425	574.000000	0.689612	110.669048
YKR095W	galactose	glutamate	2248.071918	1845.207192	584.000000	0.720511	127.639610
blank	galactose	glutamate	2382.000000	1852.000000	0.000000	0.000000	0.000000
YKR094C	galactose	glutamate	2524.269350	1846.151703	646.000000	0.659655	100.911688
YDL002C	galactose	glutamate	2662.331183	1843.597849	465.000000	0.714862	89.254834
YLR455W	galactose	glutamate	2799.948998	1844.326047	549.000000	0.658696	91.254834
YDL001W	galactose	glutamate	2936.366000	1845.816000	1000.000000	0.225294	119.396970
YJL128C	galactose	glutamate	3076.362602	1843.743089	615.000000	0.618598	100.911688
YBR172C	galactose	glutamate	3215.464348	1845.304348	575.000000	0.595281	93.840620
YJL105W	galactose	glutamate	3350.268542	1846.090793	782.000000	0.234291	101.497475
YML036W	galactose	glutamate	174.000000	1994.000000	0.000000	0.000000	0.000000
YJL175W	galactose	glutamate	312.878049	1993.003049	328.000000	0.633040	66.526912
YML027W	galactose	glutamate	449.604265	1992.007109	422.000000	0.716467	83.012193
YJL141C	galactose	glutamate	587.890496	1991.855372	484.000000	0.664785	96.083261
wild-type	galactose	glutamate	725.312661	1991.219638	387.000000	0.763833	93.254834
wild-type	galactose	glutamate	863.889764	1990.729659	381.000000	0.773560	86.083261
YML022W	galactose	glutamate	1003.282407	1990.599537	432.000000	0.754482	89.497475
YOL125W	galactose	glutamate	1142.863179	1990.790744	497.000000	0.754701	101.497475
YLR406C	galactose	glutamate	1280.539106	1989.902235	358.000000	0.773923	79.597980
YJL137C	galactose	glutamate	1419.265130	1989.616715	347.000000	0.744855	80.426407
YLR394W	galactose	glutamate	1556.337634	1988.010753	465.000000	0.734326	89.840620
YJL136C	galactose	glutamate	1692.000000	1994.000000	0.000000	0.000000	0.000000
YLR382C	galactose	glutamate	1830.000000	1994.000000	0.000000	0.000000	0.000000
YGR250C	galactose	glutamate	1971.937220	1989.736921	669.000000	0.654681	112.568542
YLR370C	galactose	glutamate	2109.703533	1989.001536	651.000000	0.714604	111.982756
YGR248W	galactose	glutamate	2248.326415	1988.300000	530.000000	0.746065	100.669048
YLR361C	galactose	glutamate	2385.881696	1987.640625	448.000000	0.721878	83.597980
YGR239C	galactose	glutamate	2524.036021	1986.821612	583.000000	0.735558	94.669048
YLR358C	galactose	glutamate	2658.000000	1994.000000	0.000000	0.000000	0.000000
YGR238C	galactose	glutamate	2800.686464	1986.904696	724.000000	0.616018	110.911688
YLR346C	galactose	glutamate	2938.643519	1987.111111	432.000000	0.623296	81.012193
YGR117C	galactose	glutamate	3075.564841	1987.126801	347.000000	0.521635	69.355339
YLR334C	galactose	glutamate	3215.039695	1987.319084	655.000000	0.652785	98.911688
YGR110W	galactose	glutamate	3350.389558	1987.855422	747.000000	0.283104	99.254834
